Region,Western Digital: (2020)
California,100
Hawaii,95
Alaska,87
Wyoming,86
North Dakota,83
Kansas,81
Colorado,77
Virginia,76
Nevada,75
New Hampshire,74
Washington,74
District of Columbia,74
Massachusetts,73
New York,71
Maryland,71
Oregon,70
Illinois,69
New Jersey,69
Utah,68
Florida,67
West Virginia,67
Arizona,67
Michigan,66
Alabama,65
Wisconsin,64
Oklahoma,63
Texas,62
Pennsylvania,62
North Carolina,61
Minnesota,60
Mississippi,60
Connecticut,60
New Mexico,59
Indiana,59
Idaho,59
Rhode Island,58
Ohio,57
Louisiana,56
Georgia,56
Arkansas,55
Tennessee,53
Nebraska,52
Missouri,52
Montana,50
Kentucky,50
South Carolina,49
Delaware,48
Iowa,47
Maine,43
Vermont,43
South Dakota,43
