Region,Gap Inc.: (2020)
New York,100
New Jersey,95
Massachusetts,91
Connecticut,82
Rhode Island,81
District of Columbia,76
Pennsylvania,66
Vermont,64
Illinois,62
California,62
New Hampshire,57
Delaware,54
Minnesota,53
Maryland,51
Maine,49
Virginia,48
Wisconsin,47
Washington,46
Ohio,45
Georgia,44
Utah,44
Texas,44
Hawaii,44
Louisiana,43
Oregon,43
Nebraska,43
Iowa,43
North Carolina,42
Michigan,42
Alaska,41
Kentucky,40
Kansas,39
Tennessee,39
Florida,38
Colorado,38
Missouri,38
Oklahoma,36
Nevada,35
South Dakota,35
North Dakota,35
South Carolina,34
Arizona,34
Indiana,34
Alabama,34
Arkansas,33
Idaho,32
New Mexico,31
Mississippi,29
Wyoming,28
Montana,27
West Virginia,25
