Region,Aramark: (2020)
District of Columbia,100
Delaware,97
Pennsylvania,89
Kentucky,82
Tennessee,81
South Carolina,71
Illinois,71
Louisiana,70
Texas,65
Alabama,65
Arkansas,65
North Carolina,63
Mississippi,62
New Jersey,59
Ohio,59
Virginia,58
Nevada,57
Arizona,55
Rhode Island,55
Indiana,55
Georgia,54
West Virginia,52
Minnesota,49
Iowa,47
Massachusetts,47
Colorado,46
Missouri,46
South Dakota,45
Maryland,45
Wisconsin,43
Oregon,42
Connecticut,41
New York,41
Idaho,40
Kansas,39
Michigan,36
Washington,36
Florida,36
California,35
Vermont,32
Nebraska,31
New Hampshire,29
Utah,27
Oklahoma,26
Maine,25
North Dakota,24
New Mexico,21
Wyoming,20
Alaska,18
Hawaii,12
Montana,11
